States,Agegrp,Month,Deaths
Alabama,25-34 years,5/1/2018,109
Alabama,25-34 years,6/1/2018,96
Alabama,25-34 years,7/1/2018,105
Alabama,25-34 years,8/1/2018,79
Alabama,25-34 years,9/1/2018,88
Alabama,25-34 years,10/1/2018,85
Alabama,25-34 years,11/1/2018,90
Alabama,25-34 years,12/1/2018,87
Alabama,25-34 years,1/1/2019,79
Alabama,25-34 years,2/1/2019,103
Alabama,25-34 years,3/1/2019,101
Alabama,25-34 years,4/1/2019,95
Alabama,25-34 years,5/1/2019,106
Alabama,25-34 years,6/1/2019,97
Alabama,25-34 years,7/1/2019,90
Alabama,25-34 years,8/1/2019,100
Alabama,25-34 years,9/1/2019,84
Alabama,25-34 years,10/1/2019,104
Alabama,25-34 years,11/1/2019,78
Alabama,25-34 years,12/1/2019,121
Alabama,25-34 years,1/1/2020,80
Alabama,25-34 years,2/1/2020,91
Alabama,25-34 years,3/1/2020,115
Alabama,25-34 years,4/1/2020,103
Alabama,25-34 years,5/1/2020,142
Alabama,25-34 years,6/1/2020,122
Alabama,25-34 years,7/1/2020,122
Alabama,25-34 years,8/1/2020,136
Alabama,25-34 years,9/1/2020,98
Alabama,25-34 years,10/1/2020,111
Alabama,25-34 years,11/1/2020,132
Alabama,25-34 years,12/1/2020,119
Alabama,25-34 years,1/1/2021,129
Alabama,25-34 years,2/1/2021,127
Alabama,25-34 years,3/1/2021,137
Alabama,25-34 years,4/1/2021,129
Alabama,25-34 years,5/1/2021,131
Alabama,25-34 years,6/1/2021,119
Alabama,25-34 years,7/1/2021,140
Alabama,25-34 years,8/1/2021,177
Alabama,25-34 years,9/1/2021,181
Alabama,25-34 years,10/1/2021,162
Alabama,25-34 years,11/1/2021,119
Alabama,25-34 years,12/1/2021,137
Alabama,35-44 years,1/1/2018,164
Alabama,35-44 years,2/1/2018,133
Alabama,35-44 years,3/1/2018,152
Alabama,35-44 years,4/1/2018,147
Alabama,35-44 years,5/1/2018,175
Alabama,35-44 years,6/1/2018,163
Alabama,35-44 years,7/1/2018,152
Alabama,35-44 years,8/1/2018,154
Alabama,35-44 years,9/1/2018,124
Alabama,35-44 years,10/1/2018,129
Alabama,35-44 years,11/1/2018,146
Alabama,35-44 years,12/1/2018,181
Alabama,35-44 years,1/1/2019,159
Alabama,35-44 years,2/1/2019,135
Alabama,35-44 years,3/1/2019,149
Alabama,35-44 years,4/1/2019,146
Alabama,35-44 years,5/1/2019,173
Alabama,35-44 years,6/1/2019,137
Alabama,35-44 years,7/1/2019,154
Alabama,35-44 years,8/1/2019,145
Alabama,35-44 years,9/1/2019,148
Alabama,35-44 years,10/1/2019,149
Alabama,35-44 years,11/1/2019,139
Alabama,35-44 years,12/1/2019,160
Alabama,35-44 years,1/1/2020,139
Alabama,35-44 years,2/1/2020,158
Alabama,35-44 years,3/1/2020,170
Alabama,35-44 years,4/1/2020,179
Alabama,35-44 years,5/1/2020,197
Alabama,35-44 years,6/1/2020,201
Alabama,35-44 years,7/1/2020,197
Alabama,35-44 years,8/1/2020,219
Alabama,35-44 years,9/1/2020,181
Alabama,35-44 years,10/1/2020,157
Alabama,35-44 years,11/1/2020,197
Alabama,35-44 years,12/1/2020,231
Alabama,35-44 years,1/1/2021,247
Alabama,35-44 years,2/1/2021,178
Alabama,35-44 years,3/1/2021,178
Alabama,35-44 years,4/1/2021,206
Alabama,35-44 years,5/1/2021,205
Alabama,35-44 years,6/1/2021,204
Alabama,35-44 years,7/1/2021,200
Alabama,35-44 years,8/1/2021,351
Alabama,35-44 years,9/1/2021,330
Alabama,35-44 years,10/1/2021,256
Alabama,35-44 years,11/1/2021,186
Alabama,35-44 years,12/1/2021,220
Alabama,45-54 years,1/1/2018,369
Alabama,45-54 years,2/1/2018,276
Alabama,45-54 years,3/1/2018,311
Alabama,45-54 years,4/1/2018,285
Alabama,45-54 years,5/1/2018,307
Alabama,45-54 years,6/1/2018,282
Alabama,45-54 years,7/1/2018,300
Alabama,45-54 years,8/1/2018,302
Alabama,45-54 years,9/1/2018,284
Alabama,45-54 years,10/1/2018,268
Alabama,45-54 years,11/1/2018,275
Alabama,45-54 years,12/1/2018,337
Alabama,45-54 years,1/1/2019,284
Alabama,45-54 years,2/1/2019,271
Alabama,45-54 years,3/1/2019,309
Alabama,45-54 years,4/1/2019,294
Alabama,45-54 years,5/1/2019,307
Alabama,45-54 years,6/1/2019,298
Alabama,45-54 years,7/1/2019,266
Alabama,45-54 years,8/1/2019,294
Alabama,45-54 years,9/1/2019,289
Alabama,45-54 years,10/1/2019,292
Alabama,45-54 years,11/1/2019,289
Alabama,45-54 years,12/1/2019,254
Alabama,45-54 years,1/1/2020,314
Alabama,45-54 years,2/1/2020,300
Alabama,45-54 years,3/1/2020,335
Alabama,45-54 years,4/1/2020,327
Alabama,45-54 years,5/1/2020,344
Alabama,45-54 years,6/1/2020,364
Alabama,45-54 years,7/1/2020,393
Alabama,45-54 years,8/1/2020,377
Alabama,45-54 years,9/1/2020,339
Alabama,45-54 years,10/1/2020,331
Alabama,45-54 years,11/1/2020,339
Alabama,45-54 years,12/1/2020,410
Alabama,45-54 years,1/1/2021,474
Alabama,45-54 years,2/1/2021,358
Alabama,45-54 years,3/1/2021,363
Alabama,45-54 years,4/1/2021,364
Alabama,45-54 years,5/1/2021,325
Alabama,45-54 years,6/1/2021,333
Alabama,45-54 years,7/1/2021,369
Alabama,45-54 years,8/1/2021,622
Alabama,45-54 years,9/1/2021,635
Alabama,45-54 years,10/1/2021,428
Alabama,45-54 years,11/1/2021,344
Alabama,45-54 years,12/1/2021,374
Alabama,55-64 years,1/1/2018,886
Alabama,55-64 years,2/1/2018,691
Alabama,55-64 years,3/1/2018,695
Alabama,55-64 years,4/1/2018,645
Alabama,55-64 years,5/1/2018,550
Alabama,55-64 years,6/1/2018,653
Alabama,55-64 years,7/1/2018,671
Alabama,55-64 years,8/1/2018,610
Alabama,55-64 years,9/1/2018,632
Alabama,55-64 years,10/1/2018,676
Alabama,55-64 years,11/1/2018,699
Alabama,55-64 years,12/1/2018,688
Alabama,55-64 years,1/1/2019,740
Alabama,55-64 years,2/1/2019,607
Alabama,55-64 years,3/1/2019,662
Alabama,55-64 years,4/1/2019,664
Alabama,55-64 years,5/1/2019,666
Alabama,55-64 years,6/1/2019,636
Alabama,55-64 years,7/1/2019,659
Alabama,55-64 years,8/1/2019,651
Alabama,55-64 years,9/1/2019,629
Alabama,55-64 years,10/1/2019,651
Alabama,55-64 years,11/1/2019,665
Alabama,55-64 years,12/1/2019,713
Alabama,55-64 years,1/1/2020,741
Alabama,55-64 years,2/1/2020,759
Alabama,55-64 years,3/1/2020,719
Alabama,55-64 years,4/1/2020,721
Alabama,55-64 years,5/1/2020,785
Alabama,55-64 years,6/1/2020,753
Alabama,55-64 years,7/1/2020,897
Alabama,55-64 years,8/1/2020,879
Alabama,55-64 years,9/1/2020,774
Alabama,55-64 years,10/1/2020,764
Alabama,55-64 years,11/1/2020,815
Alabama,55-64 years,12/1/2020,978
Alabama,55-64 years,1/1/2021,1203
Alabama,55-64 years,2/1/2021,841
Alabama,55-64 years,3/1/2021,795
Alabama,55-64 years,4/1/2021,752
